"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Tolo Harbour and Channel","TM7","2024-12-07","1","Surface Water","1.8","0.02","2","95","6.9","<1","4","0.037","<0.002","0.007","7.9","0.7","31.6","2.1","0.1","5.5","22.3","0.06","0.18","0.22","0.04","0.9","<0.001","1.8"
"Tolo Harbour and Channel","TM7","2024-12-07","1","Middle Water","1.7","0.013","1.6","98","7.1","1","10","0.029","<0.002","<0.002","7.9","1.2","31.6","2.1","0.09","3","22.3","0.04","0.16","0.19","0.06","1","<0.001","1.5"
"Tolo Harbour and Channel","TM7","2024-12-07","1","Bottom Water","1.5","0.007","4.6","87","6.3","3","15","0.034","<0.002","<0.002","7.7","1.8","31.6","2.1","0.17","3.5","22.4","0.04","0.24","0.28","0.06","1.8","<0.001","1.7"
"Tolo Harbour and Channel","TM8","2024-01-18","1","Surface Water","0.8","<0.005","1.7","79","5.9","<1","<1","0.007","<0.002","<0.002","8","<0.2","33","2.7","0.1","4.3","20.1","0.01","0.12","0.13","0.03","0.4","<0.001","1.1"
"Tolo Harbour and Channel","TM8","2024-01-18","1","Middle Water","0.9","<0.005","1.1","93","7","1","2","0.007","<0.002","<0.002","8.1","0.7","33.4","2.7","0.13","2.3","19.5","0.01","0.1","0.11","0.03","0.5","<0.001","0.8"
"Tolo Harbour and Channel","TM8","2024-01-18","1","Bottom Water","0.5","0.007","0.6","90","6.8","<1","<1","0.008","<0.002","<0.002","8.1","<0.2","33.4","2.7","0.31","7","19.5","0.02","0.09","0.1","0.03","2","<0.001","1.4"
"Tolo Harbour and Channel","TM8","2024-02-22","1","Surface Water","0.8","<0.005","1.4","83","6.1","<1","1","0.008","<0.002","<0.002","8.2","<0.2","33.5","4.5","0.54","1.6","20.6","0.02","0.28","0.29","0.03","0.2","<0.001","0.6"
"Tolo Harbour and Channel","TM8","2024-02-22","1","Middle Water","0.4","0.006","1.5","92","7","<1","<1","0.01","<0.002","<0.002","8.2","<0.2","33.9","4.5","0.49","4","18.6","0.02","0.32","0.33","0.03","0.2","<0.001","1.1"
"Tolo Harbour and Channel","TM8","2024-02-22","1","Bottom Water","0.3","<0.005","1","86","6.6","<1","<1","0.01","<0.002","<0.002","8.2","0.5","33.9","4.5","0.65","3.6","18.3","0.02","0.29","0.3","0.03","0.6","<0.001","1"
"Tolo Harbour and Channel","TM8","2024-03-20","1","Surface Water","0.4","0.026","1.4","83","6.3","<1","<1","0.008","<0.002","<0.002","7.9","<0.2","34.1","5","0.41","0.8","19.2","0.04","0.18","0.19","0.04","0.3","<0.001","<0.5"
"Tolo Harbour and Channel","TM8","2024-03-20","1","Middle Water","0.3","0.032","1.5","98","7.4","<1","<1","0.008","<0.002","<0.002","7.9","<0.2","34","5","0.4","9.2","19","0.04","0.18","0.19","0.04","1.4","<0.001","2.4"
"Tolo Harbour and Channel","TM8","2024-03-20","1","Bottom Water","<0.1","0.033","1.3","85","6.5","<1","<1","0.007","<0.002","<0.002","7.9","<0.2","34.1","5","0.5","2.2","18.8","0.04","0.07","0.08","0.06","2.7","<0.001","<0.5"
"Tolo Harbour and Channel","TM8","2024-04-12","1","Surface Water","0.6","<0.005","2.4","91","6.3","<1","<1","0.013","<0.002","<0.002","8.2","<0.2","33.9","3.6","0.23","2.1","24.2","0.02","0.14","0.16","0.04","0.1","<0.001","0.8"
"Tolo Harbour and Channel","TM8","2024-04-12","1","Middle Water","0.5","<0.005","2.3","86","6","<1","<1","0.014","<0.002","<0.002","8.1","<0.2","34.1","3.6","0.39","3.3","23.5","0.02","0.13","0.15","0.04","0.9","<0.001","0.7"
"Tolo Harbour and Channel","TM8","2024-04-12","1","Bottom Water","0.3","0.017","1.5","80","5.6","<1","<1","0.015","<0.002","0.004","8.1","<0.2","34.1","3.6","0.45","5.1","23.2","0.03","0.15","0.17","0.05","3","<0.001","3"
"Tolo Harbour and Channel","TM8","2024-05-31","1","Surface Water","2.1","0.029","4.5","93","6.3","2","3","0.031","0.012","<0.002","8.1","1.6","30.3","3.3","0.36","1.9","26.3","0.07","0.2","0.24","0.05","0.8","0.002","1.1"
"Tolo Harbour and Channel","TM8","2024-05-31","1","Middle Water","1.4","0.024","3.1","62","4.2","<1","2","0.037","0.015","<0.002","8.1","0.8","30.4","3.3","0.41","1.9","26.3","0.08","0.17","0.22","0.05","0.7","0.001","0.9"
"Tolo Harbour and Channel","TM8","2024-05-31","1","Bottom Water","0.9","0.056","1.2","51","3.5","<1","1","0.032","0.032","0.007","8","0.5","30.7","3.3","0.99","3.5","26","0.12","0.18","0.24","0.06","5.5","0.003","1.2"
"Tolo Harbour and Channel","TM8","2024-06-13","1","Surface Water","2.3","0.014","7","111","7.4","110","130","0.014","<0.002","<0.002","8.2","2","27.3","2","0.45","2.6","28.1","0.03","0.22","0.24","0.04","2.3","0.001","1.6"
"Tolo Harbour and Channel","TM8","2024-06-13","1","Middle Water","0.9","0.014","4.3","87","5.9","8","40","0.02","0.002","<0.002","8","<0.2","30.5","2","0.51","5","26.8","0.04","0.23","0.25","0.04","0.5","<0.001","1.2"
"Tolo Harbour and Channel","TM8","2024-06-13","1","Bottom Water","1.4","0.014","5","69","4.7","4","33","0.012","<0.002","<0.002","7.9","0.4","31.8","2","0.48","11","25.9","0.03","0.22","0.23","0.05","3","<0.001","2.4"
"Tolo Harbour and Channel","TM8","2024-07-17","1","Surface Water","1.1","0.032","4.5","98","6.4","4","8","0.19","<0.002","0.007","8.3","0.8","26.3","2.1","0.52","4.6","30.5","0.22","0.27","0.46","0.04","1.1","0.004","1.4"
"Tolo Harbour and Channel","TM8","2024-07-17","1","Middle Water","0.8","0.037","2.8","73","4.7","<1","5","0.08","<0.002","<0.002","8.1","1.9","27.5","2.1","0.64","3.8","30.7","0.12","0.25","0.33","0.05","1.6","0.003","1.2"
"Tolo Harbour and Channel","TM8","2024-07-17","1","Bottom Water","0.3","0.026","2.1","56","3.7","1","1","0.13","0.014","0.018","7.6","1.6","29.2","2.1","1.6","1.9","28.3","0.17","0.14","0.28","0.1","1.8","<0.001","0.8"
"Tolo Harbour and Channel","TM8","2024-08-16","1","Surface Water","1.4","0.006","4.9","81","5.3","16","84","0.035","<0.002","<0.002","8.3","1.1","30.9","2.6","0.39","4.8","28.3","0.04","0.27","0.31","0.11","1.1","<0.001","1.3"
"Tolo Harbour and Channel","TM8","2024-08-16","1","Middle Water","0.5","<0.005","2.4","68","4.6","1","21","0.025","<0.002","0.008","7.9","0.7","33.7","2.6","0.33","6.4","25.6","0.03","0.21","0.24","0.1","1","<0.001","1.7"
"Tolo Harbour and Channel","TM8","2024-08-16","1","Bottom Water","0.8","0.008","2.9","74","5.1","1","11","0.049","0.006","0.012","7.7","<0.2","35","2.6","0.5","3.7","23.3","0.06","0.16","0.22","0.11","3.9","<0.001","0.9"
"Tolo Harbour and Channel","TM8","2024-09-16","1","Surface Water","1.5","0.013","2.8","98","6.3","<1","1","0.044","<0.002","<0.002","8.1","0.9","29.9","3","0.64","4.4","30.1","0.06","0.17","0.22","0.07","1","0.001","1.9"
"Tolo Harbour and Channel","TM8","2024-09-16","1","Middle Water","0.5","0.034","1","67","4.3","<1","<1","0.046","0.006","0.006","7.8","0.8","30.7","3","0.82","1.3","29.4","0.09","0.17","0.22","0.08","0.6","0.001","0.6"
"Tolo Harbour and Channel","TM8","2024-09-16","1","Bottom Water","<0.1","0.19","0.3","67","4.4","<1","<1","0.042","0.036","0.042","7.6","0.4","32.6","3","2.1","5.2","27.7","0.27","0.3","0.38","0.17","3.1","0.004","0.8"
"Tolo Harbour and Channel","TM8","2024-10-24","1","Surface Water","0.6","0.005","2.6","101","6.7","<1","1","0.012","<0.002","0.003","7.8","0.7","32.4","2.4","0.43","2","27.5","0.02","0.18","0.19","0.13","2.1","<0.001","0.8"
"Tolo Harbour and Channel","TM8","2024-10-24","1","Middle Water","0.5","<0.005","2.3","61","4","<1","<1","0.019","0.005","0.012","7.8","1","32","2.4","0.5","2.7","27.7","0.03","0.23","0.25","0.16","1.5","<0.001","0.9"
"Tolo Harbour and Channel","TM8","2024-10-24","1","Bottom Water","0.4","0.01","1.5","57","3.8","<1","<1","0.026","<0.002","0.014","7.8","0.9","32.2","2.4","0.51","8.7","27.5","0.04","0.18","0.21","0.18","6.1","<0.001","1.8"
"Tolo Harbour and Channel","TM8","2024-11-17","1","Surface Water","0.8","0.014","3.3","86","5.9","<1","10","0.036","<0.002","<0.002","7.7","1.7","31.6","3.3","0.46","3.8","25.6","0.05","0.27","0.31","0.14","1","<0.001","1.4"
"Tolo Harbour and Channel","TM8","2024-11-17","1","Middle Water","0.3","0.016","1.5","66","4.5","<1","1","0.038","0.007","0.004","7.7","1.2","32.3","3.3","0.56","3.6","25.3","0.06","0.16","0.21","0.19","2.2","<0.001","1.2"
"Tolo Harbour and Channel","TM8","2024-11-17","1","Bottom Water","<0.1","0.016","1.3","77","5.2","<1","1","0.035","0.01","0.003","7.7","0.8","32.7","3.3","0.61","8.4","25.3","0.06","0.16","0.21","0.16","5","<0.001","1.9"
"Tolo Harbour and Channel","TM8","2024-12-07","1","Surface Water","1.6","<0.005","2.6","98","7.1","2","5","0.024","<0.002","<0.002","7.8","1.5","31.8","1.8","0.13","2.4","22.1","0.03","0.15","0.18","0.04","1.4","<0.001","1.2"
"Tolo Harbour and Channel","TM8","2024-12-07","1","Middle Water","1.6","0.005","2.3","79","5.7","<1","<1","0.025","<0.002","<0.002","7.7","2","31.9","1.8","0.11","2.2","22.1","0.03","0.16","0.19","0.04","1.6","<0.001","1.2"
"Tolo Harbour and Channel","TM8","2024-12-07","1","Bottom Water","1.3","0.009","3.7","73","5.3","<1","1","0.042","<0.002","<0.002","7.7","2.6","32.1","1.8","0.32","5.1","21.9","0.05","0.13","0.17","0.05","6","<0.001","1.5"
"Tolo Harbour and Channel","TT1","2024-01-18","1","Surface Water","1.5","0.007","5.8","79","5.8","15","21","0.016","<0.002","<0.002","8.1","0.9","32.5","2.1","0.14","2","20.7","0.03","0.14","0.16","0.03","0.5","<0.001","1"
"Tolo Harbour and Channel","TT1","2024-01-18","1","Middle Water","2.1","0.015","7.2","91","6.8","15","26","0.015","<0.002","<0.002","8.1","1","32.5","2.1","0.16","5.8","20.5","0.03","0.11","0.13","0.04","0.5","<0.001","1.6"
"Tolo Harbour and Channel","TT1","2024-01-18","1","Bottom Water","1.8","0.017","4.4","88","6.6","8","11","0.009","<0.002","<0.002","8.1","1.6","32.7","2.1","0.24","2.8","20.2","0.03","0.12","0.13","0.02","1.2","<0.001","1.4"
"Tolo Harbour and Channel","TT1","2024-03-20","1","Surface Water","1.1","0.031","3.8","115","8.6","12","78","0.054","<0.002","<0.002","8","<0.2","31.8","2.5","0.36","2.7","20.6","0.09","0.28","0.34","0.04","1.6","0.001","0.5"
"Tolo Harbour and Channel","TT1","2024-03-20","1","Middle Water","0.7","<0.005","2.6","113","8.4","3","9","0.006","<0.002","0.005","8","0.3","32.9","2.5","0.1","6","20.4","0.01","0.2","0.21","0.04","1.2","<0.001","1.3"
"Tolo Harbour and Channel","TT1","2024-03-20","1","Bottom Water","0.7","<0.005","3.7","112","8.4","11","24","0.007","<0.002","<0.002","8","<0.2","33.2","2.5","0.09","3","19.9","0.01","0.18","0.19","0.04","1.4","<0.001","1.2"
"Tolo Harbour and Channel","TT1","2024-05-31","1","Surface Water","2","0.026","6.7","71","4.8","10","19","0.076","0.014","<0.002","8.2","1.9","27.8","2.4","0.42","2.4","27","0.12","0.21","0.3","0.04","1.1","0.002","1.5"
"Tolo Harbour and Channel","TT1","2024-05-31","1","Middle Water","1.6","0.035","6.5","76","5.2","16","30","0.076","0.015","<0.002","8.1","2.5","27.9","2.4","0.49","2.8","26.9","0.13","0.22","0.31","0.04","1.2","0.002","1.6"
"Tolo Harbour and Channel","TT1","2024-05-31","1","Bottom Water","1.8","0.052","6.3","70","4.8","13","30","0.07","0.02","0.002","8.1","1.9","28","2.4","0.72","3.2","26.9","0.14","0.18","0.27","0.04","1.1","0.003","2.1"
"Tolo Harbour and Channel","TT1","2024-07-17","1","Surface Water","1.4","0.048","1.7","91","5.8","8","45","0.049","<0.002","0.005","8.3","0.3","27.7","1.8","0.94","2.7","31.7","0.1","0.29","0.34","0.04","1.7","0.007","1.6"
"Tolo Harbour and Channel","TT1","2024-07-17","1","Middle Water","1.4","0.058","1","86","5.4","35","140","0.038","<0.002","0.003","8.3","0.3","27.8","1.8","0.79","2.6","31.8","0.1","0.3","0.34","0.05","1.8","0.008","1.6"
"Tolo Harbour and Channel","TT1","2024-07-17","1","Bottom Water","1.2","0.061","0.9","71","4.5","31","97","0.038","<0.002","0.003","8.2","0.3","27.8","1.8","0.8","5.2","31.7","0.1","0.28","0.32","0.04","2","0.007","2.4"
"Tolo Harbour and Channel","TT1","2024-09-16","1","Surface Water","1.4","0.086","1.4","88","5.6","160","340","0.03","<0.002","0.004","8.2","1.3","27.2","2.1","1.6","5.5","31.1","0.12","0.3","0.33","0.1","1.5","0.009","2.8"
"Tolo Harbour and Channel","TT1","2024-09-16","1","Middle Water","1.2","0.14","1.3","92","5.9","48","150","0.018","<0.002","0.01","8.1","1.2","27.5","2.1","1.2","3.1","31.4","0.16","0.26","0.28","0.11","1.6","0.012","1.9"
"Tolo Harbour and Channel","TT1","2024-09-16","1","Bottom Water","1.1","0.18","1.5","80","5.1","40","50","0.025","<0.002","0.014","7.8","1","27.8","2.1","1.6","8.8","31.2","0.21","0.35","0.38","0.13","1.7","0.009","3.9"
"Tolo Harbour and Channel","TT1","2024-11-17","1","Surface Water","0.6","0.11","4.9","68","4.6","100","760","0.19","0.012","0.012","7.6","1.1","31","3.8","1.1","8.3","25.6","0.31","0.33","0.53","0.12","0.8","0.002","2.5"
"Tolo Harbour and Channel","TT1","2024-11-17","1","Middle Water","0.4","0.067","2.7","60","4.1","32","110","0.058","0.01","0.002","7.6","1.7","31.1","3.8","0.74","6.2","25.7","0.14","0.17","0.24","0.13","1.1","0.001","1.3"
"Tolo Harbour and Channel","TT1","2024-11-17","1","Bottom Water","0.4","0.076","2.8","56","3.8","26","170","0.058","0.01","0.005","7.6","1.3","31.5","3.8","0.71","5.7","25.8","0.14","0.17","0.24","0.13","1.9","0.002","2"
"Victoria Harbour","VM1","2024-01-03","1","Surface Water","0.4","0.047","1.5","89","6.7","250","490","0.12","0.044","0.021","7.6","<0.2","33.1","3.8","0.69","1.3","19.8","0.21","0.13","0.29","0.05","2.8","<0.001","0.7"
"Victoria Harbour","VM1","2024-01-03","1","Middle Water","0.4","0.023","1","97","7.3","230","670","0.058","0.037","0.007","7.6","0.3","33.2","3.8","0.65","1.2","19.7","0.12","0.14","0.24","0.07","3","<0.001","0.8"
"Victoria Harbour","VM1","2024-01-03","1","Bottom Water","0.3","0.018","0.9","96","7.2","46","73","0.061","0.036","0.009","7.7","0.4","33.4","3.8","0.7","3.6","19.6","0.12","0.21","0.31","0.13","3","<0.001","1.2"
"Victoria Harbour","VM1","2024-02-01","1","Surface Water","0.9","0.087","0.6","83","6.3","270","520","0.068","0.008","0.008","7.7","<0.2","33.7","3.5","0.55","2.3","18.9","0.16","0.28","0.36","0.04","3.3","0.001","0.5"
"Victoria Harbour","VM1","2024-02-01","1","Middle Water","0.8","0.069","0.5","87","6.6","90","100","0.059","0.007","0.015","7.7","0.3","33.9","3.5","0.51","4.1","18.9","0.14","0.27","0.34","0.04","3.7","<0.001","0.6"
"Victoria Harbour","VM1","2024-02-01","1","Bottom Water","0.8","0.061","1.9","88","6.7","110","180","0.057","0.007","0.004","7.8","<0.2","33.9","3.5","0.5","4","18.9","0.13","0.36","0.42","0.04","4.1","0.001","0.6"
"Victoria Harbour","VM1","2024-03-01","1","Surface Water","0.4","0.058","0.7","98","7.4","1800","4100","0.053","0.008","0.013","7.3","<0.2","33.5","3.5","0.54","2.9","19.2","0.12","0.14","0.2","0.11","3.3","<0.001","<0.5"
"Victoria Harbour","VM1","2024-03-01","1","Middle Water","0.2","0.048","0.7","93","6.9","1100","2700","0.05","0.007","0.01","7.4","<0.2","34.1","3.5","0.57","2.7","20","0.11","0.2","0.26","0.18","3.5","<0.001","<0.5"
"Victoria Harbour","VM1","2024-03-01","1","Bottom Water","0.3","0.058","0.7","93","6.9","1700","3100","0.05","0.006","0.007","7.5","<0.2","34.1","3.5","0.51","3.1","20","0.11","0.14","0.2","0.13","3.5","<0.001","<0.5"
"Victoria Harbour","VM1","2024-04-03","1","Surface Water","0.9","0.16","1.3","76","5.4","420","1400","0.16","0.024","0.017","8","<0.2","32.8","3.9","0.36","0.9","23.4","0.34","0.42","0.6","0.1","0.8","0.006","<0.5"
"Victoria Harbour","VM1","2024-04-03","1","Middle Water","0.5","0.047","1.7","89","6.3","220","290","0.053","0.003","0.005","8.1","0.6","34.2","3.9","0.2","1","22.4","0.1","0.22","0.28","0.06","0.7","0.002","<0.5"
"Victoria Harbour","VM1","2024-04-03","1","Bottom Water","0.5","0.045","1.6","85","6.1","150","200","0.038","0.003","0.005","8.1","<0.2","34.4","3.9","0.19","1.7","22.3","0.09","0.2","0.24","0.06","0.8","0.002","0.8"
"Victoria Harbour","VM1","2024-05-02","1","Surface Water","0.5","0.1","1.3","114","7.9","460","800","0.21","0.013","0.011","7.3","0.8","30.1","2.3","0.97","2.7","25","0.32","0.2","0.42","0.06","2.3","<0.001","0.5"
"Victoria Harbour","VM1","2024-05-02","1","Middle Water","<0.1","0.042","0.8","66","4.6","80","300","0.088","0.004","0.006","7.4","0.6","32.6","2.3","0.53","3.6","24.9","0.13","0.15","0.24","0.06","3.8","<0.001","<0.5"
"Victoria Harbour","VM1","2024-05-02","1","Bottom Water","<0.1","0.042","0.8","81","5.6","900","3100","0.084","0.004","0.005","7.4","0.7","32.7","2.3","0.52","4.8","24.9","0.13","0.2","0.29","0.06","4.3","<0.001","0.8"
"Victoria Harbour","VM1","2024-06-03","1","Surface Water","0.3","0.13","1.2","109","7.4","3100","6100","0.13","0.012","0.011","8","1","30.4","2.2","0.94","1.3","26.1","0.27","0.26","0.4","0.06","1.6","0.006","<0.5"
"Victoria Harbour","VM1","2024-06-03","1","Middle Water","<0.1","0.078","0.8","73","4.9","1100","1700","0.064","0.004","0.006","8","0.4","31.8","2.2","0.65","11","26.1","0.15","0.18","0.25","0.05","2.6","0.004","2.6"
"Victoria Harbour","VM1","2024-06-03","1","Bottom Water","0.3","0.061","0.9","70","4.7","210","510","0.042","0.003","0.003","8.1","0.4","32.6","2.2","0.57","5.5","26","0.11","0.12","0.17","0.05","4.9","0.003","1.1"
"Victoria Harbour","VM1","2024-07-10","1","Surface Water","0.8","0.041","29","111","8","140","370","0.36","0.029","0.003","7.5","3.6","15.6","2.1","0.27","6.6","27.8","0.43","0.32","0.71","0.07","3.6","<0.001","1.7"
"Victoria Harbour","VM1","2024-07-10","1","Middle Water","<0.1","0.038","1.7","69","4.9","1600","2900","0.13","0.011","0.017","7.1","1.7","34.1","2.1","1.8","5.6","23.4","0.18","0.15","0.29","0.09","4.2","<0.001","0.8"
"Victoria Harbour","VM1","2024-07-10","1","Bottom Water","<0.1","0.042","0.9","36","2.5","1400","3300","0.12","0.011","0.02","7.2","0.8","34","2.1","1.7","5.1","23.2","0.17","0.14","0.27","0.09","4.7","<0.001","0.5"
"Victoria Harbour","VM1","2024-08-07","1","Surface Water","1","0.017","10","65","4.4","190","380","0.084","0.01","0.006","8.1","3.5","32.4","2.8","0.38","12","25.6","0.11","0.3","0.39","0.11","9.7","<0.001","2.8"
"Victoria Harbour","VM1","2024-08-07","1","Middle Water","0.6","0.007","3.3","52","3.6","540","1200","0.12","0.004","0.01","8","2.1","33.9","2.8","0.94","6.8","23.4","0.13","0.16","0.28","0.13","6.6","<0.001","1.4"
"Victoria Harbour","VM1","2024-08-07","1","Bottom Water","0.8","0.011","8.4","49","3.4","900","1400","0.1","0.006","<0.002","8","1.7","34","2.8","0.58","7.3","23.2","0.12","0.19","0.3","0.08","3.4","<0.001","2.5"
"Victoria Harbour","VM1","2024-09-20","1","Surface Water","2.2","0.2","1.1","55","3.6","80","230","0.074","0.019","0.017","7.9","<0.2","31.9","3.7","1.1","3.8","29.2","0.29","0.25","0.34","0.08","4.6","0.01","0.6"
"Victoria Harbour","VM1","2024-09-20","1","Middle Water","0.4","0.2","1.6","67","4.3","110","210","0.055","0.012","0.011","8","<0.2","32.2","3.7","0.94","4.3","29.2","0.27","0.21","0.28","0.08","5.2","0.01","0.8"
"Victoria Harbour","VM1","2024-09-20","1","Bottom Water","0.4","0.23","0.6","69","4.4","80","290","0.095","0.035","0.02","8","0.3","32.3","3.7","1.4","6.4","29.2","0.36","0.26","0.39","0.1","4","0.013","1.4"
"Victoria Harbour","VM1","2024-10-04","1","Surface Water","<0.1","0.02","1.9","118","7.6","71","130","0.032","0.004","0.003","7.7","0.5","32.4","2.3","0.54","8","28.4","0.06","0.17","0.21","0.21","7.8","<0.001","2.5"
"Victoria Harbour","VM1","2024-10-04","1","Middle Water","<0.1","0.021","1.6","81","5.3","86","150","0.027","0.004","0.004","7.7","0.6","32.5","2.3","0.46","9.6","28.6","0.05","0.18","0.21","0.11","5.6","<0.001","3.1"
"Victoria Harbour","VM1","2024-10-04","1","Bottom Water","<0.1","0.021","1.9","83","5.4","63","110","0.021","0.006","0.006","7.7","0.7","32.6","2.3","0.47","4.2","28.6","0.05","0.15","0.18","0.14","5.1","<0.001","1.4"
"Victoria Harbour","VM1","2024-11-04","1","Surface Water","0.4","0.027","1","108","7.3","110","270","0.093","0.051","0.013","7.7","0.6","32.5","2.2","1","15","26.2","0.17","0.16","0.3","0.15","3","<0.001","3"
"Victoria Harbour","VM1","2024-11-04","1","Middle Water","0.3","0.02","1.1","70","4.7","190","330","0.086","0.054","0.015","7.7","0.5","32.7","2.2","0.91","5.6","26.3","0.16","0.13","0.27","0.16","4.6","<0.001","1.1"
"Victoria Harbour","VM1","2024-11-04","1","Bottom Water","<0.1","0.018","1.1","52","3.5","180","380","0.083","0.052","0.015","7.7","0.8","32.7","2.2","0.99","5.2","26.3","0.15","0.17","0.31","0.16","5.7","<0.001","1.4"
"Victoria Harbour","VM1","2024-12-02","1","Surface Water","0.4","0.044","5.7","97","7","160","240","0.24","0.026","0.028","7.6","2.2","31.8","2.6","1.5","5","22.5","0.31","0.15","0.42","0.1","1.9","<0.001","1.6"
"Victoria Harbour","VM1","2024-12-02","1","Middle Water","0.4","0.024","5.7","84","6","150","220","0.23","0.025","0.025","7.6","3.1","31.8","2.6","1.5","4","22.5","0.28","0.12","0.38","0.08","2.5","<0.001","0.9"
"Victoria Harbour","VM1","2024-12-02","1","Bottom Water","0.3","0.035","5","86","6.2","120","170","0.23","0.024","0.028","7.6","1.5","31.8","2.6","1.5","9.9","22.5","0.29","0.15","0.4","0.16","2","<0.001","2.2"
"Victoria Harbour","VM12","2024-01-05","1","Surface Water","0.5","0.15","0.6","68","5.1","1400","2000","0.14","0.044","0.022","7.6","0.5","32.9","2.7","1","2.7","19.8","0.33","0.26","0.44","0.06","3.2","0.002","1.2"
"Victoria Harbour","VM12","2024-01-05","1","Middle Water","0.4","0.15","0.7","82","6.2","1300","2000","0.14","0.045","0.018","7.6","<0.2","32.9","2.7","0.99","3.4","19.8","0.34","0.25","0.44","<0.05","3.4","0.002","1.3"
"Victoria Harbour","VM12","2024-01-05","1","Bottom Water","0.6","0.15","0.6","83","6.2","1400","2200","0.13","0.044","0.019","7.6","<0.2","32.9","2.7","1","4.2","19.8","0.32","0.21","0.38","<0.05","3.5","0.002","1.1"
"Victoria Harbour","VM12","2024-02-02","1","Surface Water","0.3","0.17","1.1","72","5.4","490","990","0.066","0.006","0.007","7.9","<0.2","33.8","2.6","0.54","3.8","19.5","0.24","0.31","0.38","0.05","0.7","0.004","0.7"
"Victoria Harbour","VM12","2024-02-02","1","Middle Water","0.3","0.17","0.4","76","5.8","900","2200","0.066","0.004","0.014","7.9","<0.2","33.8","2.6","0.53","7.2","19.4","0.24","0.41","0.48","0.05","1","0.004","1.2"
"Victoria Harbour","VM12","2024-02-02","1","Bottom Water","0.2","0.19","0.5","73","5.5","2100","4700","0.064","0.004","0.008","7.9","<0.2","33.8","2.6","0.55","8.1","19.3","0.26","0.41","0.48","0.05","1.9","0.005","1.2"
"Victoria Harbour","VM12","2024-03-08","1","Surface Water","0.4","0.19","0.4","109","8.3","570","1200","0.081","0.005","0.008","7.5","0.4","33.9","2.8","0.48","2","18.9","0.28","0.28","0.37","0.06","3.6","0.002","<0.5"
"Victoria Harbour","VM12","2024-03-08","1","Middle Water","<0.1","0.2","0.9","168","12.5","1700","3100","0.077","0.005","0.015","7.5","<0.2","33.6","2.8","0.52","1.7","20","0.28","0.28","0.36","0.06","3.5","0.002","<0.5"
"Victoria Harbour","VM12","2024-03-08","1","Bottom Water","<0.1","0.24","1","78","5.8","16000","33000","0.064","0.005","0.022","7.5","<0.2","33.9","2.8","0.49","4.7","20","0.31","0.36","0.43","0.07","3.6","0.002","0.9"
"Victoria Harbour","VM12","2024-04-05","1","Surface Water","1.3","0.13","7.4","106","7.5","4300","8000","0.25","0.008","0.01","8.2","1.4","30.1","2.7","0.22","1.5","24.2","0.39","0.39","0.65","0.08","0.1","0.009","0.6"
"Victoria Harbour","VM12","2024-04-05","1","Middle Water","0.8","0.17","5.6","94","6.6","10000","24000","0.22","0.007","0.014","8.2","<0.2","30.8","2.7","0.21","2.8","23.9","0.4","0.39","0.62","0.08","1.3","0.01","0.5"
"Victoria Harbour","VM12","2024-04-05","1","Bottom Water","0.6","0.19","4.6","89","6.2","8000","24000","0.18","0.006","0.012","8.2","0.5","31.5","2.7","0.22","3.8","23.8","0.38","0.39","0.58","0.08","1.1","0.011","1"
"Victoria Harbour","VM12","2024-05-03","1","Surface Water","<0.1","0.17","0.6","113","8","8000","15000","0.3","0.025","0.022","7.4","<0.2","29","2.5","1.5","4","24.7","0.5","0.29","0.62","0.09","4","0.002","0.6"
"Victoria Harbour","VM12","2024-05-03","1","Middle Water","<0.1","0.17","0.8","100","7","7200","14000","0.28","0.023","0.021","7.4","<0.2","29.2","2.5","1.4","5","24.9","0.47","0.33","0.63","0.09","4.4","0.002","1.1"
"Victoria Harbour","VM12","2024-05-03","1","Bottom Water","<0.1","0.18","0.3","64","4.5","5900","8000","0.23","0.018","0.019","7.4","<0.2","29.8","2.5","1.2","6.6","24.9","0.43","0.34","0.59","0.09","4.4","0.002","1.3"
"Victoria Harbour","VM12","2024-06-17","1","Surface Water","0.4","0.053","1.1","72","5.1","3200","14000","0.83","0.074","0.027","8","<0.2","20","2.4","5.6","2.7","27.3","0.96","0.13","1.03","0.06","3.4","0.003","0.8"
"Victoria Harbour","VM12","2024-06-17","1","Middle Water","0.5","0.092","1","58","4.1","4400","9000","0.4","0.049","0.02","8","<0.2","22","2.4","3.1","3.8","27.1","0.54","0.22","0.67","0.08","5.3","0.004","0.7"
